     d1,      d2,      d3,  AbsRel,   SqRel,    RMSE, RMSElog,   SILog,   log10
 11.018,   0.034,   0.073,   0.305,   3.240,   0.117,   0.934,   0.992,   0.999
  9.600,   0.031,   0.077,   0.268,   2.163,   0.112,   0.975,   0.994,   0.996
  8.353,   0.018,   0.040,   0.206,   3.042,   0.084,   0.967,   0.990,   1.000
 10.416,   0.033,   0.075,   0.229,   2.926,   0.105,   0.959,   0.991,   1.000
 10.016,   0.023,   0.051,   0.263,   3.020,   0.101,   0.952,   0.995,   0.998
  4.394,   0.013,   0.031,   0.055,   1.493,   0.044,   0.998,   1.000,   1.000
  9.310,   0.026,   0.063,   0.280,   2.977,   0.102,   0.947,   0.994,   1.000
  8.803,   0.033,   0.077,   0.147,   1.878,   0.094,   0.980,   0.998,   1.000
  3.554,   0.010,   0.023,   0.043,   1.367,   0.036,   0.998,   1.000,   1.000
  4.293,   0.017,   0.040,   0.057,   1.212,   0.055,   0.999,   1.000,   1.000
 11.531,   0.057,   0.147,   0.590,   3.207,   0.170,   0.775,   0.993,   1.000
 10.399,   0.031,   0.074,   0.229,   2.376,   0.106,   0.948,   0.997,   0.999
 10.422,   0.037,   0.084,   0.374,   3.367,   0.121,   0.944,   0.991,   0.995
 10.709,   0.039,   0.084,   0.311,   3.098,   0.131,   0.921,   0.987,   0.999
 11.209,   0.040,   0.096,   0.428,   4.045,   0.124,   0.899,   0.998,   1.000
  9.366,   0.027,   0.060,   0.203,   2.626,   0.096,   0.952,   0.999,   1.000
 11.559,   0.032,   0.080,   0.482,   3.854,   0.127,   0.914,   0.979,   0.999
 11.448,   0.054,   0.113,   0.525,   4.623,   0.162,   0.886,   0.972,   0.998
  9.965,   0.025,   0.058,   0.312,   3.345,   0.102,   0.935,   0.994,   0.999
  5.481,   0.015,   0.035,   0.091,   1.674,   0.059,   0.992,   0.998,   1.000
  4.329,   0.016,   0.038,   0.046,   1.334,   0.047,   0.997,   1.000,   1.000
 10.114,   0.034,   0.073,   0.304,   3.133,   0.113,   0.917,   1.000,   1.000
 12.176,   0.038,   0.080,   0.577,   4.982,   0.143,   0.881,   0.989,   0.999
