     d1,      d2,      d3,  AbsRel,   SqRel,    RMSE, RMSElog,   SILog,   log10
  6.030,   0.016,   0.036,   0.084,   1.801,   0.061,   0.992,   0.999,   1.000
  8.761,   0.037,   0.079,   0.279,   3.058,   0.112,   0.943,   0.998,   1.000
  7.200,   0.029,   0.063,   0.198,   2.733,   0.096,   0.967,   0.999,   1.000
  6.317,   0.018,   0.042,   0.064,   1.389,   0.063,   0.985,   1.000,   1.000
  9.149,   0.019,   0.044,   0.208,   2.731,   0.092,   0.967,   0.994,   0.997
  8.365,   0.022,   0.051,   0.122,   1.831,   0.085,   0.965,   0.998,   0.999
 12.585,   0.029,   0.070,   0.379,   3.196,   0.126,   0.954,   0.985,   0.992
 11.729,   0.034,   0.073,   0.242,   2.450,   0.128,   0.942,   0.982,   0.993
 11.902,   0.029,   0.063,   0.390,   3.986,   0.123,   0.905,   0.993,   0.997
  9.492,   0.026,   0.055,   0.357,   4.602,   0.100,   0.948,   0.991,   1.000
  8.556,   0.033,   0.080,   0.187,   2.347,   0.104,   0.952,   0.999,   1.000
 22.015,   0.056,   0.112,   0.956,   5.840,   0.226,   0.885,   0.927,   0.943
  8.783,   0.023,   0.052,   0.140,   1.923,   0.090,   0.973,   0.990,   1.000
  8.162,   0.019,   0.043,   0.165,   2.489,   0.082,   0.980,   0.995,   0.999
 14.562,   0.058,   0.144,   0.775,   4.562,   0.175,   0.795,   0.978,   0.995
  7.709,   0.024,   0.056,   0.118,   1.722,   0.077,   0.993,   0.998,   1.000
  8.969,   0.036,   0.085,   0.303,   3.588,   0.102,   0.954,   1.000,   1.000
 14.285,   0.036,   0.078,   0.392,   3.591,   0.144,   0.885,   0.980,   0.998
 13.378,   0.038,   0.091,   0.838,   5.988,   0.135,   0.864,   0.994,   0.999
 12.749,   0.040,   0.095,   0.560,   4.238,   0.129,   0.918,   0.994,   1.000
  7.011,   0.029,   0.063,   0.236,   3.179,   0.090,   0.980,   0.999,   1.000
 10.647,   0.040,   0.102,   0.542,   4.139,   0.134,   0.901,   0.990,   0.998
  9.772,   0.029,   0.065,   0.271,   3.260,   0.103,   0.949,   0.997,   0.999
  8.553,   0.025,   0.058,   0.264,   3.495,   0.088,   0.967,   0.998,   0.999
  8.407,   0.016,   0.036,   0.249,   3.214,   0.084,   0.973,   0.994,   0.998
 11.069,   0.029,   0.066,   0.361,   3.719,   0.111,   0.931,   0.997,   1.000
  5.897,   0.019,   0.044,   0.087,   1.610,   0.064,   0.985,   0.999,   1.000
 11.737,   0.053,   0.129,   0.549,   4.271,   0.147,   0.907,   0.992,   1.000
  9.525,   0.033,   0.077,   0.194,   2.332,   0.098,   0.969,   0.997,   1.000
  8.562,   0.022,   0.054,   0.293,   3.112,   0.088,   0.979,   0.996,   0.998
 11.358,   0.034,   0.073,   0.337,   3.543,   0.123,   0.957,   0.988,   0.999
  5.765,   0.013,   0.031,   0.117,   1.867,   0.058,   0.991,   0.998,   0.999
  9.791,   0.024,   0.056,   0.267,   2.854,   0.098,   0.976,   0.993,   0.996
  6.946,   0.021,   0.049,   0.130,   1.892,   0.073,   0.983,   1.000,   1.000
  9.931,   0.030,   0.066,   0.289,   3.254,   0.108,   0.919,   0.999,   1.000
 11.521,   0.024,   0.054,   0.369,   4.085,   0.115,   0.948,   0.988,   0.996
  8.578,   0.028,   0.063,   0.160,   1.938,   0.092,   0.977,   0.996,   0.999
  6.504,   0.019,   0.046,   0.048,   0.899,   0.073,   0.970,   1.000,   1.000
  9.023,   0.030,   0.069,   0.222,   2.673,   0.092,   0.960,   0.997,   1.000
 11.217,   0.029,   0.073,   0.463,   3.716,   0.119,   0.917,   0.995,   0.998
 10.121,   0.030,   0.065,   0.258,   3.023,   0.109,   0.945,   0.990,   0.999
  5.253,   0.017,   0.038,   0.079,   1.804,   0.055,   0.996,   1.000,   1.000
  6.945,   0.024,   0.054,   0.191,   3.018,   0.081,   0.976,   0.999,   1.000
  6.759,   0.015,   0.034,   0.163,   2.806,   0.068,   0.985,   0.998,   0.999
  6.737,   0.020,   0.046,   0.170,   2.680,   0.069,   0.987,   0.998,   1.000
  6.974,   0.019,   0.043,   0.129,   2.460,   0.070,   0.983,   0.999,   1.000
 10.180,   0.028,   0.063,   0.310,   3.598,   0.102,   0.960,   0.997,   1.000
  5.555,   0.017,   0.038,   0.084,   1.659,   0.056,   0.997,   1.000,   1.000
  8.629,   0.027,   0.061,   0.169,   2.448,   0.092,   0.970,   0.997,   1.000
  6.535,   0.019,   0.043,   0.076,   1.337,   0.068,   0.989,   0.994,   1.000
  9.979,   0.031,   0.076,   0.312,   2.879,   0.113,   0.900,   0.998,   1.000
  5.246,   0.014,   0.031,   0.119,   2.462,   0.055,   0.990,   1.000,   1.000
  8.075,   0.020,   0.045,   0.162,   2.462,   0.081,   0.971,   0.994,   1.000
  6.439,   0.022,   0.049,   0.165,   2.839,   0.074,   0.983,   1.000,   1.000
 10.656,   0.024,   0.056,   0.379,   2.862,   0.107,   0.968,   0.993,   0.997
  5.543,   0.014,   0.033,   0.052,   1.100,   0.056,   0.994,   1.000,   1.000
  8.146,   0.026,   0.062,   0.203,   2.418,   0.083,   0.983,   0.999,   1.000
 11.016,   0.032,   0.073,   0.288,   3.462,   0.110,   0.953,   0.996,   1.000
  9.370,   0.023,   0.055,   0.245,   2.726,   0.095,   0.940,   0.996,   1.000
  8.279,   0.025,   0.056,   0.163,   2.549,   0.088,   0.976,   0.996,   0.998
  4.129,   0.013,   0.031,   0.062,   1.700,   0.044,   0.996,   1.000,   1.000
  9.103,   0.028,   0.067,   0.146,   2.011,   0.091,   0.971,   1.000,   1.000
  9.970,   0.026,   0.059,   0.325,   3.994,   0.100,   0.964,   0.990,   0.998
  5.708,   0.017,   0.039,   0.090,   1.910,   0.057,   0.995,   1.000,   1.000
 13.953,   0.038,   0.078,   0.543,   4.566,   0.156,   0.920,   0.953,   0.992
  7.287,   0.018,   0.040,   0.190,   3.404,   0.073,   0.978,   0.996,   0.999
  9.280,   0.037,   0.081,   0.252,   3.145,   0.114,   0.959,   0.994,   0.998
  3.979,   0.017,   0.037,   0.074,   1.853,   0.053,   0.994,   1.000,   1.000
  6.752,   0.017,   0.040,   0.125,   2.112,   0.069,   0.982,   0.999,   1.000
  6.839,   0.017,   0.038,   0.184,   3.062,   0.071,   0.980,   0.996,   0.999
  7.593,   0.019,   0.044,   0.144,   2.231,   0.076,   0.981,   0.998,   0.999
 12.350,   0.035,   0.079,   0.368,   3.600,   0.125,   0.905,   0.990,   1.000
 11.877,   0.036,   0.075,   0.422,   4.069,   0.139,   0.914,   0.973,   0.998
