     d1,      d2,      d3,  AbsRel,   SqRel,    RMSE, RMSElog,   SILog,   log10
 11.734,   0.033,   0.073,   0.204,   2.445,   0.120,   0.966,   0.989,   0.996
 12.433,   0.033,   0.078,   0.629,   4.909,   0.125,   0.932,   0.982,   1.000
  7.715,   0.025,   0.058,   0.124,   1.889,   0.078,   0.979,   1.000,   1.000
 10.975,   0.031,   0.074,   0.323,   2.834,   0.110,   0.959,   0.992,   0.996
  5.506,   0.019,   0.045,   0.094,   1.954,   0.061,   0.991,   0.999,   1.000
 11.904,   0.028,   0.064,   0.254,   2.653,   0.121,   0.953,   0.980,   0.995
  6.929,   0.022,   0.050,   0.104,   1.778,   0.076,   0.980,   0.996,   0.999
  5.069,   0.013,   0.031,   0.049,   1.218,   0.052,   0.993,   0.999,   1.000
  8.317,   0.027,   0.060,   0.092,   1.761,   0.085,   0.973,   0.998,   0.999
  6.096,   0.016,   0.038,   0.083,   1.644,   0.062,   0.994,   0.999,   1.000
  8.993,   0.041,   0.090,   0.273,   2.834,   0.118,   0.960,   0.999,   1.000
  6.322,   0.022,   0.048,   0.142,   2.457,   0.075,   0.977,   1.000,   1.000
  6.272,   0.016,   0.036,   0.096,   2.109,   0.063,   0.986,   1.000,   1.000
  9.260,   0.022,   0.053,   0.204,   2.376,   0.093,   0.974,   0.994,   0.998
  7.804,   0.025,   0.056,   0.097,   2.028,   0.081,   0.973,   0.999,   0.999
 10.649,   0.027,   0.061,   0.287,   3.208,   0.107,   0.958,   0.994,   0.998
 10.197,   0.033,   0.071,   0.227,   2.402,   0.124,   0.941,   0.983,   0.999
  9.911,   0.023,   0.050,   0.231,   3.213,   0.099,   0.972,   0.997,   0.997
  9.401,   0.029,   0.062,   0.351,   4.355,   0.104,   0.947,   0.996,   1.000
  6.463,   0.028,   0.067,   0.137,   1.955,   0.084,   0.978,   1.000,   1.000
 21.283,   0.056,   0.111,   0.951,   5.869,   0.223,   0.864,   0.929,   0.949
  7.188,   0.025,   0.058,   0.122,   1.812,   0.080,   0.978,   0.999,   1.000
  6.608,   0.015,   0.033,   0.124,   2.319,   0.070,   0.985,   0.998,   0.998
 15.481,   0.057,   0.145,   1.033,   5.246,   0.186,   0.753,   0.977,   0.994
  7.271,   0.024,   0.053,   0.140,   1.936,   0.081,   0.993,   0.998,   1.000
 10.538,   0.040,   0.095,   0.373,   3.628,   0.120,   0.924,   0.996,   1.000
 15.208,   0.034,   0.071,   0.382,   3.349,   0.156,   0.910,   0.954,   0.997
  9.421,   0.027,   0.060,   0.318,   3.734,   0.098,   0.943,   0.999,   1.000
 12.937,   0.043,   0.099,   0.502,   3.713,   0.132,   0.918,   0.989,   1.000
  7.650,   0.030,   0.065,   0.249,   3.293,   0.090,   0.978,   0.999,   1.000
 10.695,   0.035,   0.088,   0.357,   3.249,   0.123,   0.918,   0.988,   1.000
 10.619,   0.032,   0.072,   0.253,   2.956,   0.108,   0.934,   0.998,   1.000
  7.921,   0.019,   0.043,   0.221,   3.350,   0.082,   0.968,   0.995,   0.999
  8.443,   0.014,   0.032,   0.238,   3.324,   0.085,   0.975,   0.992,   0.996
  9.416,   0.025,   0.058,   0.274,   3.165,   0.094,   0.956,   0.999,   1.000
  7.235,   0.018,   0.043,   0.115,   1.976,   0.073,   0.986,   0.997,   0.998
 11.535,   0.040,   0.092,   0.411,   4.288,   0.122,   0.961,   0.989,   0.999
  9.808,   0.040,   0.095,   0.266,   2.688,   0.112,   0.951,   0.997,   0.999
  7.127,   0.019,   0.046,   0.207,   2.711,   0.073,   0.984,   0.999,   1.000
 12.596,   0.037,   0.080,   0.427,   3.734,   0.139,   0.882,   0.987,   1.000
  6.370,   0.017,   0.040,   0.115,   1.798,   0.065,   0.985,   0.997,   1.000
 10.352,   0.026,   0.064,   0.323,   2.946,   0.105,   0.967,   0.994,   0.997
  9.561,   0.028,   0.068,   0.263,   2.687,   0.098,   0.938,   0.999,   1.000
  7.076,   0.021,   0.048,   0.156,   2.591,   0.071,   0.984,   1.000,   1.000
 11.498,   0.031,   0.068,   0.424,   4.447,   0.122,   0.917,   0.992,   0.996
  8.573,   0.025,   0.057,   0.168,   1.976,   0.088,   0.972,   0.995,   0.999
  7.277,   0.023,   0.057,   0.072,   1.122,   0.085,   0.967,   0.999,   1.000
  7.223,   0.020,   0.044,   0.151,   2.273,   0.073,   0.983,   0.998,   1.000
  8.670,   0.023,   0.057,   0.244,   2.683,   0.091,   0.951,   0.998,   0.999
  9.912,   0.033,   0.071,   0.282,   3.068,   0.116,   0.933,   0.988,   1.000
  6.628,   0.024,   0.054,   0.101,   1.794,   0.070,   0.998,   1.000,   1.000
  6.529,   0.026,   0.058,   0.171,   2.789,   0.080,   0.983,   0.999,   1.000
  7.083,   0.018,   0.041,   0.177,   2.932,   0.072,   0.985,   0.998,   0.999
  6.731,   0.024,   0.053,   0.215,   3.150,   0.080,   0.977,   0.998,   1.000
  6.970,   0.020,   0.045,   0.111,   2.261,   0.070,   0.977,   0.998,   1.000
  9.240,   0.028,   0.065,   0.237,   3.095,   0.093,   0.972,   0.998,   1.000
  6.831,   0.021,   0.048,   0.114,   1.797,   0.068,   0.988,   1.000,   1.000
